Name (Link to Data Catalog - Field Name),Link to Data Catalog,Field Order,Field Name,Field Key,Field ID,Field Type (Airtable),Options (JSON),Field Description,Field Purpose,Business Context,Source (Link To Field Mappings),Target (Link To Field Mappings),Format,Validation,Formula,Formula Dependencies (Link To Data Dictionary),Code Dependencies,Input Methods,Read/Write,Created Date,Belongs To Namespace (Link to Namespaces),Related Form Questions (Link To Form Questions),General Notes,Table ID (From Data Catalog),Base ID (From Data Catalog),Table Name (From Data Catalog),Base/Source Name (From Data Catalog),Options (Text),Field Type (Standardized),For Betafits API?,Record ID,Formatting Rules (Link To Formatting Rules),Rule Sets (Link To Rule Sets),Related Fields (Link To Data Dictionary),Schema Schemer Recommendation,Schemer Priority,Schemer Human Review,Schemer Notes,Field Name (From Data Dictionary),Schemer Reviewer Note,Description For AI,Link To Paperwork Field Types,Last Run,Current/Delete,Max Last Run (From Data Catalog),From field: Related Fields (Link To Data Dictionary),Link to Files,From field: Formula Dependencies (Link To Data Dictionary)
Forms - Intake - Group Data - ZIP Code,Forms - Intake - Group Data,0,ZIP Code,zip_code,fldv5f6GtxbL2yJ8P,,,The postal code used to identify a specific geographic delivery area for an employee's address.,"To capture the employee's postal ZIP code for mail delivery, location identification, and demographic analysis.","Used in employee records for benefits administration, communication, regional compliance, and reporting.",Forms - Intake - Group Data - ZIP Code >  -  -  -  - zip_code - ,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recdtR5BtUEXxWgDE,,,Transformation Engine - Paperwork Fields - Zip,Change/Revise,High,,Currently singleLineText. Recommend pattern validation to ensure proper ZIP/postal code format matching address locality.,Zip,,The postal code used to identify a specific geographic delivery area for an employee's address.,,,,,,,
Forms - Intake - Group Data - Country,Forms - Intake - Group Data,,Country,,fldQx6PZAyBXr4yQD,,{},,,,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recxXeCtQgYGmEJr1,,,,,,,,,,,,,,,,,
Forms - Intake - Group Data - Benefits (In Your Own Words),Forms - Intake - Group Data,0,Benefits (In Your Own Words),To be decided,fldxLXHDch9PeEOOt,,,"This field captures employee benefits described in their own words, usually as attachment files.","To collect detailed, personalized descriptions or documentation of employee benefits as provided by employees or HR staff.","Used by employee benefits companies to gather unstructured, qualitative input on benefits, enabling richer insights and documentation.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,rec4UddSe6GUrUHPm,,,,Approved,Medium,,"Multiple attachments field, naming descriptive.",,,"This field captures employee benefits described in their own words, usually as attachment files.",,,,,,,
Forms - Intake - Group Data - Transcript,Forms - Intake - Group Data,0,Transcript,transcript,fldRklu7SwZnDjYGh,,,"A detailed textual record of spoken content, often used to capture dialogue, interviews, or spoken information in text form.",To store the transcribed text of audio or speech data relevant to employee records or benefits communications.,"Supports record-keeping, compliance, and communication analysis within employee benefits operations where spoken interactions are documented.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recnMQSncEdTbkyX3,,,,Approved,Low,,"Multiline text, no issues.",,,"A detailed textual record of spoken content, often used to capture dialogue, interviews, or spoken information in text form.",,,,,,,
Forms - Intake - Group Data - Business Address in other states?,Forms - Intake - Group Data,0,Business Address in other states?,business_address_in_other_states,fldMmo0TrpeOhvttE,,"[{""label"": ""Yes"", ""value"": ""yes""},{""label"": ""No"", ""value"": ""no""}]",Indicates whether the employee's business address is located in states other than their primary state.,"To track multistate business addresses for compliance, tax, or benefits administration purposes.",Used in employee benefits administration to determine state-specific benefit eligibility or tax implications.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Yes, No",,,recUYdLnRAVutxn0m,,,Transformation Engine - Paperwork Fields - Multi Location,Approved,Medium,,SingleSelect with yes/no options appropriate.,Multi Location,,Indicates whether the employee's business address is located in states other than their primary state.,,,,,,,
Forms - Intake - Group Data - Other States,Forms - Intake - Group Data,0,Other States,other_states,fldVUmzA8ZPI36NOl,,,"A text field capturing data related to states other than the primary ones specified elsewhere in the dataset, possibly for employee coverage or benefit administration.",To record or specify additional states associated with an employee or benefits plan beyond the main listed states.,Used in employee benefits management to track and manage state-specific benefits or regulations applicable in various less common or additional states.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,rec5L0zC4DXDvqbox,,,,Approved,Medium,,Free text field listing other states. Recommend switching to multiple select or controlled vocab for consistency.,,,"A text field capturing data related to states other than the primary ones specified elsewhere in the dataset, possibly for employee coverage or benefit administration.",,,,,,,
Forms - Intake - Group Data - Year Company Founded,Forms - Intake - Group Data,0,Year Company Founded,year_company_founded,fldkinKvnBjOyXU1x,,,The year in which the company was founded.,To record and store the founding year of the company for historical and reporting purposes.,"Used in analytics and reporting to understand company age, track growth timeline, and segment companies by founding year within employee benefits context.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,rec0MOS3tWywPXa3m,,,,Approved,Medium,,Single line text used for year; recommend using Number field with validation to restrict to valid year range.,,,The year in which the company was founded.,,,,,,,
Forms - Intake - Group Data - Offering Health Insurance Benefits?,Forms - Intake - Group Data,0,Offering Health Insurance Benefits?,offering_health_insurance_benefits,fldg7ktm3ZwkUdU2G,,"[{""label"": ""Yes"", ""value"": ""yes""}, {""label"": ""No"", ""value"": ""no""}]",Indicates whether the employee benefits package includes health insurance coverage.,To identify if health insurance benefits are offered as part of the employee benefits package.,Used by HR and benefits management to track and report availability of health insurance benefits to employees.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Yes, No",,,recTA828GDMTl0F1S,,,Transformation Engine - Paperwork Fields - Offering Health Insurance Benefits,Approved,High,,SingleSelect with Yes/No clear for benefits offering. Important for reporting.,Offering Health Insurance Benefits,,Indicates whether the employee benefits package includes health insurance coverage.,,,,,,,
Forms - Intake - Group Data - Benefit Eligible Employees,Forms - Intake - Group Data,0,Benefit Eligible Employees,benefit_eligible_employees,fldkDaPabaM22uPKR,,,Indicates the number or list of employees who are eligible to receive company benefits.,To track and identify employees who qualify for various benefit plans and offerings under the company's employee benefits program.,"Used by HR and benefits administration to determine benefit coverage eligibility, monitor participation rates, and manage benefit enrollments effectively.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recnzFuL0CKVCN9Pn,,,,Declined,High,,Single line text storing numeric counts. Recommend using Number type to ensure numeric consistency.,,The numeric values are ranges like 1 - 9 and a nuber field would not accept the input.,Indicates the number or list of employees who are eligible to receive company benefits.,,,,,,,
Forms - Intake - Group Data - Estimated Benefit-Eligible Employees,Forms - Intake - Group Data,0,Estimated Benefit-Eligible Employees,estimated_benefit_eligible_employees,fld2BwKnRPYi0I2ek,,,The estimated number of employees who are eligible for benefits within the company or specific group.,"To quantify the pool of employees who qualify for benefit programs, facilitating benefit planning and management.",Used in employee benefits administration to estimate workforce benefit coverage and budget allocation for benefits.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recahoEuh517LavtQ,,,Transformation Engine - Paperwork Fields - # Eligible Employees,Approved,High,,Number type with zero decimal - appropriate for employee counts.,# Eligible Employees,,The estimated number of employees who are eligible for benefits within the company or specific group.,,,,,,,
Forms - Intake - Group Data - Estimated Medical-Enrolled Employees,Forms - Intake - Group Data,0,Estimated Medical-Enrolled Employees,estimated_medical_enrolled_employees,fldZep9bkjYnrd22b,,,The estimated number of employees enrolled in medical benefits as of the current measurement period.,To quantify the population of employees covered under medical benefit plans within the organization.,Used by employee benefits administrators and analysts to track enrollment figures for medical coverage and assist in benefits planning and reporting.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recfNWFbenzwu9pMa,,,Transformation Engine - Paperwork Fields - # Enrolled Employees,Approved,High,,Number field correct and necessary.,# Enrolled Employees,,The estimated number of employees enrolled in medical benefits as of the current measurement period.,,,,,,,
Forms - Intake - Group Data - Expected Headcount Growth,Forms - Intake - Group Data,0,Expected Headcount Growth,expected_headcount_growth,fldTGO04qrsIhaYES,,,Projected increase in the number of employees anticipated within a specific period.,To track and forecast workforce growth for planning and resource allocation.,"Used by HR and benefits teams to manage staffing levels, plan benefits enrollment, and support organizational growth strategies.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recoQZHUClstNnN8d,,,,Change/Revise,Medium,,Number field for growth but no limit or description. Recommend adding clear description and possibly min/max validation.,,Not field change,Projected increase in the number of employees anticipated within a specific period.,,,,,,,
Forms - Intake - Group Data - Workforce Types,Forms - Intake - Group Data,0,Workforce Types,workforce_types,fld0tiEBPwhC3vSRr,,"[{""label"": ""Full-Time Salaried"", ""value"": ""Full-Time Salaried""}, {""label"": ""Full-Time Hourly"", ""value"": ""Full-Time Hourly""}, {""label"": ""Part Time Employees"", ""value"": ""Part Time Employees""}, {""label"": ""Variable Hour Employees"", ""value"": ""Variable Hour Employees""}, {""label"": ""Seasonal Employees"", ""value"": ""Seasonal Employees""}, {""label"": ""Long-Term Independent Contractors"", ""value"": ""Long-Term Independent Contractors""}, {""label"": ""Short-Term Independent Contractors (Gig Economy)"", ""value"": ""Short-Term Independent Contractors (Gig Economy)""}, {""label"": ""5"", ""value"": ""5""}]",This field identifies the different types of workforce classifications included within the company. It helps in categorizing employees and contractors by their employment status or contract type.,To classify and track the variety of workforce types present in the organization for benefits administration and reporting purposes.,"In employee benefits management, distinguishing workforce types such as full-time, part-time, seasonal, and contract employees is crucial for eligibility, compliance, and benefits planning.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Full-Time Salaried, Full-Time Hourly, Part Time Employees, Variable Hour Employees, Seasonal Employees, Long-Term Independent Contractors, Short-Term Independent Contractors (Gig Economy), 5",,,recav6g2dZ3ePU2Xz,,,,Approved,Medium,,MultipleSelects field. One choice '5' seems invalid or misplaced; validate choice list for relevance and clarity.,,,This field identifies the different types of workforce classifications included within the company. It helps in categorizing employees and contractors by their employment status or contract type.,,,,,,,
Forms - Intake - Group Data - Hours/wk for Eligibility,Forms - Intake - Group Data,,Hours/wk for Eligibility,,fldParruwHvn8OLo3,,{},,,,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recnsB9ig4PE1SjMg,,,,,,,,,,,,,,,,,
Forms - Intake - Group Data - Same or Different Eligibility Classes,Forms - Intake - Group Data,0,Same or Different Eligibility Classes,same_or_different_eligibility_classes,fldxFWUIL06kKHNml,,"[{""label"":""Same class"",""value"":""same_class""},{""label"":""Different classes"",""value"":""different_classes""}]",Indicates whether employees fall under the same eligibility class or different eligibility classes for benefits.,To categorize employees by their eligibility class for benefits administration and policy enforcement.,Used by HR and benefits administrators to identify and manage groups of employees with similar or different eligibility criteria.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Same class,Different classes",,,reczRYx1LbczxROwe,,,,Approved,Medium,,Single select with clear options. Appropriate.,,,Indicates whether employees fall under the same eligibility class or different eligibility classes for benefits.,,,,,,,
Forms - Intake - Group Data - Classes Exist For,Forms - Intake - Group Data,0,Classes Exist For,classes_exist_for,fldxYQ1PJdCEI0cxY,,"[{""label"": ""Waiting Periods"", ""value"": ""waiting_periods""},{""label"": ""Contribution Amounts"", ""value"": ""contribution_amounts""}]","Specifies the categories or groups for which classes exist within the system, such as employee benefit classifications.",To identify and differentiate the classes applicable for various employee benefit plans or contributions.,Used in employee benefits management to segment workforce eligibility and contributions for benefits programs.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Waiting Periods, Contribution Amounts",,,recpOJe5gLy8nJInI,,,,Approved,Medium,,"MultipleSelects, options clearly defined. No issues.",,,"Specifies the categories or groups for which classes exist within the system, such as employee benefit classifications.",,,,,,,
Forms - Intake - Group Data - Eligibility Class Name,Forms - Intake - Group Data,0,Eligibility Class Name,eligibility_class_name,fldZagcQTjh3SBGpC,,,The name identifying a specific eligibility classification for employee benefits.,To categorize employees or members based on eligibility criteria for benefits enrollment or access.,Used by benefits administration to determine which employees or members qualify for certain benefit plans or programs.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recgFCqeJ5Zj18uRC,,,,Approved,Medium,,"Single line text, name matches expected use.",,,The name identifying a specific eligibility classification for employee benefits.,,,,,,,
Forms - Intake - Group Data - Domestic Partners Eligibile,Forms - Intake - Group Data,0,Domestic Partners Eligibile,domestic_partners_eligible,fldDoQp1V3aQ5CTEn,,"[{""label"": ""Yes (Recommended)"", ""value"": ""yes_recommended""}, {""label"": ""No"", ""value"": ""no""}, {""label"": ""Not Sure"", ""value"": ""not_sure""}]",Indicates whether domestic partners are eligible for benefits under this plan or policy.,To determine eligibility status of benefits coverage for domestic partners of employees.,Used in employee benefits management to assess and administer coverage options for domestic partners as part of overall benefits eligibility criteria.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Yes (Recommended), No, Not Sure",,,recOiQT1I5HCd73dk,,,Transformation Engine - Paperwork Fields - Domestic Partner Coverage,Approved,Medium,Revised,Field name misspelled 'Eligibile' should be 'Eligible' for professionalism.,Domestic Partner Coverage,,Indicates whether domestic partners are eligible for benefits under this plan or policy.,,,,,,,
Forms - Intake - Group Data - NDA Required,Forms - Intake - Group Data,0,NDA Required,nda_required,fldFBrsVhFSJEzj8L,,"[{""label"": ""Yes"", ""value"": ""yes""}, {""label"": ""No"", ""value"": ""no""}]",Indicates whether a Non-Disclosure Agreement (NDA) is required for the employee or contractor.,To track the requirement of an NDA as part of employee benefits or contractual policies.,Used in employee benefits administration to ensure confidentiality agreements are acknowledged and enforced where necessary.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Yes, No",,,recwKS3CWkftlBxKz,,,,Approved,Medium,,"SingleSelect Yes/No, appropriate.",,,Indicates whether a Non-Disclosure Agreement (NDA) is required for the employee or contractor.,,,,,,,
Forms - Intake - Group Data - NDA Effective Date,Forms - Intake - Group Data,0,NDA Effective Date,nda_effective_date,fldIixmXZeywNmkaT,,,The date on which the Non-Disclosure Agreement (NDA) becomes effective and legally binding.,To track the commencement date of the NDA to ensure compliance and enforce confidentiality obligations.,"Used by the legal and compliance departments within the employee benefits company to manage contract timelines and confidentiality agreements with partners, vendors, and employees.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recoMkGnylSA9PylD,,,,Approved,High,,"Date field, important for compliance tracking.",,,The date on which the Non-Disclosure Agreement (NDA) becomes effective and legally binding.,,,,,,,
