Name,Softr Pages,Block Name (Studio),Block ID,Softr Portals (from Softr Pages),Block Order on Page,Block Objective,Block Type,Block Template,Container (Link Softr Blocks),Source,Airtable Base,Airtable Table,Airtable View,Filtering on Load,Sorting,Search Bar,Filters,Fields,Visibility,Visibility conditions,Buttons,Buttons (with visibility condition),Form(s),Form Type,Form Fields,Status,Attachment Summary,Needs to be created,Screenshot,Calculation,Softr Buttons/Actions
employer-stats - Prospect Portal - Benefits Surveys,Prospect Portal - Benefits Surveys,employer-stats,,Prospect Portal,,Show yearly employer-level survey statistics for each company,List,,,Airtable,Forms,Company x Year,Grid view,Filter: Company = Company Name (from Intake - Group Data),Year A → Z,Disabled,"Optional (Year, Metrics)","Company, Year, Survey Counts, Response Stats (mapped from Airtable)",Private,Logged-in user’s company only,,,,,,,,,,9/22/2025 1:50am,
 - Prospect Portal - Benefits Surveys,Prospect Portal - Benefits Surveys,,,Prospect Portal,,,,,,,,,,,,,,,,,,,,,,,,,,9/22/2025 1:50am,
 - Prospect Portal - Benefits Surveys,Prospect Portal - Benefits Surveys,,,Prospect Portal,,,,,,,,,,,,,,,,,,,,,,,,,,9/22/2025 1:50am,
benefit-eligibility-timing-2 - Prospect Portal - company-details-tab,Prospect Portal - company-details-tab,benefit-eligibility-timing-2,,Prospect Portal,,Show waiting period and entry timing,Item details,,,,,,,Filter: Company Name (Formula) = Intake – Group Data,,,,"Benefit Waiting Period 
,Benefit Entry Date",,,,,,,,,,,,9/22/2025 11:12am,
responses - Prospect Portal - Benefits Surveys,Prospect Portal - Benefits Surveys,responses,,Prospect Portal,,Display all employee survey responses tied to a company,Table,,,Airtable,Forms,EE Pulse Surveys,[Select View],Filter: Company = Company Name (from Intake - Group Data),Default sort not set,Disabled,"Optional (Company, Date, Survey Type)","All mapped fields from EE Pulse Surveys (e.g., Question, Response, Date, Employee)",Private,Logged-in user’s company only,,,,,,,,,,9/22/2025 1:37pm,
 - Prospect Portal - Appoint Betafits,Prospect Portal - Appoint Betafits,,,Prospect Portal,,,,,,,,,,,,,,Blank,,,,,,,,Todo,,,,9/22/2025 2:03pm,
 - Prospect Portal - Solutions Catalogue,Prospect Portal - Solutions Catalogue,,,Prospect Portal,,,,,,,,,,,,,,Blank,,,,,,,,Todo,,,,9/22/2025 2:03pm,
header1 - Prospect Portal - Home,Prospect Portal - Home,header1,236a7ff5-a0c7-47fd-83a2-35abc3a4c2cb,Prospect Portal,1,Provide site navigation and brand visibility,Header,navigation-v5-0-3,,,,,,,,,,,Visible to All,Visible to All,,,,,,,,,,10/15/2025 6:21pm,
welcome-message - Prospect Portal - Home,Prospect Portal - Home,welcome-message,0aaeef3a-2b72-4cef-a3fc-421c47fdfe4d,Prospect Portal,2,"Display a list of dynamic items (e.g., companies, products)",List,list12-v4-13-0,,,,,,,,,,,Logged in users,Logged in users,,,,,,,,,,10/15/2025 6:21pm,
column-container6 - Prospect Portal - Home,Prospect Portal - Home,column-container6,86b12ca0-e203-41f7-a5ad-faba6a37b22f,Prospect Portal,3,Display informational or content section,Container,block-container-v5-1-0,,,,,,Open → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recrAM81ra6lYbDNT; Update → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recrAM81ra6lYbDNT; Open → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recIPF1qjiG2H7rfT; Update → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recIPF1qjiG2H7rfT; Open → https://betafits.fillout.com/t/jgaiJJZJvjus?id=recVSd9DZU6LCrT1B; Update → https://betafits.fillout.com/t/jgaiJJZJvjus?id=recVSd9DZU6LCrT1B; Open → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recXdJiLMWOCzZkDt; Update → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recXdJiLMWOCzZkDt; Open → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recT4pXh7VLg3cF8V; Update → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recT4pXh7VLg3cF8V; Open → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recrAM81ra6lYbDNT; Update → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recrAM81ra6lYbDNT; Upload Documents → https://betafits.fillout.com/t/aTDkqH7zTmus,,,,,Delete,Delete,Open → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recrAM81ra6lYbDNT; Update → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recrAM81ra6lYbDNT; Open → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recIPF1qjiG2H7rfT; Update → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recIPF1qjiG2H7rfT; Open → https://betafits.fillout.com/t/jgaiJJZJvjus?id=recVSd9DZU6LCrT1B; Update → https://betafits.fillout.com/t/jgaiJJZJvjus?id=recVSd9DZU6LCrT1B; Open → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recXdJiLMWOCzZkDt; Update → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recXdJiLMWOCzZkDt; Open → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recT4pXh7VLg3cF8V; Update → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recT4pXh7VLg3cF8V; Open → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recrAM81ra6lYbDNT; Update → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recrAM81ra6lYbDNT; Upload Documents → https://betafits.fillout.com/t/aTDkqH7zTmus,,,,,,,,,10/15/2025 6:21pm,
table2 - Prospect Portal - Home,Prospect Portal - Home,table2,45afb7eb-9cb5-4cc2-9590-07e9572fed82,Prospect Portal,4,Display informational or content section,Table,table-v5-31-4,,,,,,,,,,,Delete,Delete,,,,,,,,,,10/15/2025 6:21pm,
list16 - Prospect Portal - Home,Prospect Portal - Home,list16,51d743eb-ac05-4ce5-9945-0aa9cb9da6bb,Prospect Portal,5,"Display a list of dynamic items (e.g., companies, products)",List,list-v5-26-0,,,,,,Open ↗ → #,,,,,Logged in users,Logged in users,Open ↗ → #,,,,,,,,,10/15/2025 6:21pm,
column-container8 - Prospect Portal - Home,Prospect Portal - Home,column-container8,05d37c36-097a-4925-b491-6d75f98d2e37,Prospect Portal,6,Display informational or content section,Container,block-container-v5-1-0,,,,,,Request Meeting → https://calendly.com/matthewprisco/call-with-matthew-prisco; Open Feedback → /employee-feedback; View Budget → /benefit-plans,,,,,Delete,Delete,Request Meeting → https://calendly.com/matthewprisco/call-with-matthew-prisco; Open Feedback → /employee-feedback; View Budget → /benefit-plans,,,,,,,,,10/15/2025 6:21pm,
column-container3 - Prospect Portal - Home,Prospect Portal - Home,column-container3,7610de21-c979-4d2f-b73a-86cc17212dc7,Prospect Portal,7,Display informational or content section,Container,block-container-v5-1-0,,,,,,Open ↗ → #; Request Meeting → #,,,,,Delete,Delete,Open ↗ → #; Request Meeting → #,,,,,,,,,10/15/2025 6:21pm,
grid2 - Prospect Portal - Home,Prospect Portal - Home,grid2,2e250f35-a336-46d6-b528-719cb5531d12,Prospect Portal,8,Display informational or content section,Grid,list17-v5-28-4,,,,,,,,,,,Delete,Delete,,,,,,,,,,10/15/2025 6:21pm,
assigned-form-3x3-container - Prospect Portal - Home,Prospect Portal - Home,assigned-form-3x3-container,a1f99f0e-b938-455b-be6f-bbc450642f47,Prospect Portal,9,Display informational or content section,Container,block-container-v5-1-0,,,,,,Open Form → https://ttps//betafits.fillout.com/t/6eUGSndhtYus?id=recIPF1qjiG2H7rfT; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recrAM81ra6lYbDNT; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recXdJiLMWOCzZkDt; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recIPF1qjiG2H7rfT,,,,,Delete,Delete,Open Form → https://ttps//betafits.fillout.com/t/6eUGSndhtYus?id=recIPF1qjiG2H7rfT; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recrAM81ra6lYbDNT; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recXdJiLMWOCzZkDt; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recIPF1qjiG2H7rfT,,,,,,,,,10/15/2025 6:21pm,
tab-container1 - Prospect Portal - Home,Prospect Portal - Home,tab-container1,a36ce509-2c26-4c26-ad93-90f1f9882c53,Prospect Portal,10,Display informational or content section,Container,tab-container-v5-0-2,,,,,,Update → #,,,,,Delete,Delete,Update → #,,,,,,,,,10/15/2025 6:21pm,
company-table - Prospect Portal - Home,Prospect Portal - Home,company-table,2db56401-b9c6-45a8-b96b-f2c9eb69511e,Prospect Portal,11,Display informational or content section,Table,table-v5-31-4,,,,,,,,,,,Delete,Delete,,,,,,,,,,10/15/2025 6:21pm,
column-container4 - Prospect Portal - Home,Prospect Portal - Home,column-container4,d6f30b8d-76a2-4206-8006-5e1934483d7f,Prospect Portal,12,Display informational or content section,Container,block-container-v5-1-0,,,,,,Open Form → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recT4pXh7VLg3cF8V; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recrAM81ra6lYbDNT; Open Form → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recrAM81ra6lYbDNT; Open Form → https://betafits.fillout.com/t/urHF8xDu7eus?id=recxiv5BshTxwD6pK; Open Form → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recXdJiLMWOCzZkDt; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recXdJiLMWOCzZkDt; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recIPF1qjiG2H7rfT,,,,,Delete,Delete,Open Form → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recT4pXh7VLg3cF8V; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recrAM81ra6lYbDNT; Open Form → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recrAM81ra6lYbDNT; Open Form → https://betafits.fillout.com/t/urHF8xDu7eus?id=recxiv5BshTxwD6pK; Open Form → https://betafits.fillout.com/t/eBxXtLZdK4us?id=recXdJiLMWOCzZkDt; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recXdJiLMWOCzZkDt; Open Form → https://betafits.fillout.com/t/cqBbC1vEUcus?id=recIPF1qjiG2H7rfT,,,,,,,,,10/15/2025 6:21pm,
column-container2 - Prospect Portal - Home,Prospect Portal - Home,column-container2,117e64f8-0a24-446a-a01f-76098a6c9da4,Prospect Portal,13,Display informational or content section,Container,block-container-v5-1-0,,,,,,↗ → https://betafits.fillout.com/t/ujTSx72pr5us?id=; ↗ → https://betafits.fillout.com/t/eQ7FVU76PDus?id=recIPF1qjiG2H7rfT; ↗ → https://betafits.fillout.com/t/urHF8xDu7eus?id=recxiv5BshTxwD6pK; ↗ → https://betafits.fillout.com/t/aTDkqH7zTmus?id=recIPF1qjiG2H7rfT; ↗ → https://ttps//betafits.fillout.com/t/6eUGSndhtYus?id=recIPF1qjiG2H7rfT,,,,,Delete,Delete,↗ → https://betafits.fillout.com/t/ujTSx72pr5us?id=; ↗ → https://betafits.fillout.com/t/eQ7FVU76PDus?id=recIPF1qjiG2H7rfT; ↗ → https://betafits.fillout.com/t/urHF8xDu7eus?id=recxiv5BshTxwD6pK; ↗ → https://betafits.fillout.com/t/aTDkqH7zTmus?id=recIPF1qjiG2H7rfT; ↗ → https://ttps//betafits.fillout.com/t/6eUGSndhtYus?id=recIPF1qjiG2H7rfT,,,,,,,,,10/15/2025 6:21pm,
faq1 - Prospect Portal - Home,Prospect Portal - Home,faq1,dd40f7d8-ab5d-4d80-b56f-c3b410c59706,Prospect Portal,14,Display informational or content section,FAQ,faq1-v3-0-2,,,,,,,,,,,Delete,Delete,,,,,,,,,,10/15/2025 6:21pm,
list3 - Prospect Portal - Home,Prospect Portal - Home,list3,79b8605d-034c-48c4-8667-efdf47b0c341,Prospect Portal,15,"Display a list of dynamic items (e.g., companies, products)",List,list-v5-26-0,,,,,,,,,,,Search items,Search items,,,,,,,,,,10/15/2025 6:21pm,
home-page-quick-links - Prospect Portal - Home,Prospect Portal - Home,home-page-quick-links,39a3d10e-59ed-4c2f-aca8-719fcb69544b,Prospect Portal,16,Display informational or content section,Quick Links,quick-links-v5-0-2,,,,,,Fill Employee Survey → /benefits-surveys; Review Plans → /benefit-plans; Update Forms → /forms/documents; Set-up Meeting → /appoint-betafits,,,,,Logged in users,Logged in users,Fill Employee Survey → /benefits-surveys; Review Plans → /benefit-plans; Update Forms → /forms/documents; Set-up Meeting → /appoint-betafits,,,,,,,,,10/15/2025 6:21pm,
header1 - Prospect Portal - Employee Feedback,Prospect Portal - Employee Feedback,header1,236a7ff5-a0c7-47fd-83a2-35abc3a4c2cb,Prospect Portal,1,Provide navigation and access to main sections,Header,navigation-v5-0-3,,,,,,,,,,,Visible to All,Visible to All,,,,,,,,,,10/15/2025 7:08pm,
employee-feedback - Prospect Portal - Employee Feedback,Prospect Portal - Employee Feedback,employee-feedback,8fdf0d55-daba-40cb-887a-fa90df453619,Prospect Portal,2,Introduce the product and encourage engagement,Hero,hero1-v3-0-2,,,,,,,,,,,Delete,Delete,,,,,,,,,,10/15/2025 7:08pm,
employee-feedback-collection - Prospect Portal - Employee Feedback,Prospect Portal - Employee Feedback,employee-feedback-collection,6576baa1-d667-4bd3-82b9-6c14fc682d9b,Prospect Portal,3,Display informational or decorative content,Quick Links,quick-links-v5-0-2,,,,,,,,,,,Delete,Delete,,,,,,,,,,10/15/2025 7:08pm,
lick-section - Prospect Portal - Employee Feedback,Prospect Portal - Employee Feedback,lick-section,f216facc-e102-4b19-b52e-73ea7a546089,Prospect Portal,4,Display informational or decorative content,Custom Code,custom-code-v5-0-0,,,,,,,,,,,Delete,Delete,,,,,,,,,,10/15/2025 7:08pm,
average-score-summary - Prospect Portal - Employee Feedback,Prospect Portal - Employee Feedback,average-score-summary,bb00a44a-d91a-4124-bfee-1e25cdb49a5a,Prospect Portal,5,Display informational or decorative content,Table,table-v5-31-4,,,,,,,,,,,Logged in users,Logged in users,,,,,,,,,,10/15/2025 7:08pm,
employee-feedback-summary - Prospect Portal - Employee Feedback,Prospect Portal - Employee Feedback,employee-feedback-summary,e248baf2-bcc3-4ead-90fb-d8886a7af7f2,Prospect Portal,6,Display informational or decorative content,Table,table-v5-31-4,,,,,,,,,,,Logged in users,Logged in users,,,,,,,,,,10/15/2025 7:08pm,
column-container1 - Prospect Portal - Employee Feedback,Prospect Portal - Employee Feedback,column-container1,0f8c5aca-29b6-4b97-a70e-e5445fef9462,Prospect Portal,7,Display informational or decorative content,Container,block-container-v5-1-0,,,,,,,,,,,Delete,Delete,,,,,,,,,,10/15/2025 7:08pm,
column-container2 - Prospect Portal - Employee Feedback,Prospect Portal - Employee Feedback,column-container2,3c67eb69-591a-4a18-8c92-e9d4837ecc23,Prospect Portal,8,Display informational or decorative content,Container,block-container-v5-1-0,,,,,,,,,,,Delete,Delete,,,,,,,,,,10/15/2025 7:08pm,
